Feature ID	Taxon
100019	d__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella;s__Didymella exigua
1000418	d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;g__Galeopsis;s__Galeopsis tetrahit
100177	d__Bacteria;k__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borreliella;s__Borreliella lusitaniae
10020	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Heteromyidae;g__Dipodomys;s__Dipodomys ordii
1002107	d__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium psychrosexuale
100225	d__Bacteria;k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Dermatophilaceae;g__Austwickia;s__Austwickia chelonae
1002546	d__Bacteria;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Cohaesibacteraceae;g__Cohaesibacter;s__uncultured Cohaesibacter sp.
1002672	d__Bacteria;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Candidatus Pelagibacterales;f__Candidatus Pelagibacteraceae;g__Pelagibacter;s__Candidatus Pelagibacter sp. IMCC9063
1002689	d__Bacteria;k__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__Occallatibacter riparius
100272	d__Eukaryota;k__containing s__uncultured eukaryote;p__containing s__uncultured eukaryote;c__containing s__uncultured eukaryote;o__containing s__uncultured eukaryote;f__containing s__uncultured eukaryote;g__containing s__uncultured eukaryote;s__uncultured eukaryote
1002788	d__Eukaryota;k__Metazoa;p__Chordata;c__Aves;o__Piciformes;f__Indicatoridae;g__Indicator;s__Indicator indicator
10029	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Cricetulus;s__Cricetulus griseus
1002954	d__Eukaryota;k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Udea;s__Udea ferrugalis
1002971	d__Eukaryota;k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Udea;s__Udea olivalis
1003110	d__Bacteria;k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora maris
1003114	d__Bacteria;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter yananisis
10036	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Mesocricetus;s__Mesocricetus auratus
1004	d__Bacteria;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga;s__Chitinophaga sancti
10041	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Peromyscus;s__Peromyscus leucopus
10042	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Peromyscus;s__Peromyscus maniculatus
100465	d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Bryopsida;o__Hypnales;f__Leucodontaceae;g__Antitrichia;s__Antitrichia curtipendula
10047	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Meriones;s__Meriones unguiculatus
1004901	d__Bacteria;k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia iterans
1005039	d__Bacteria;k__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__Fimbriimonas ginsengisoli
1005933	d__Archaea;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__uncultured Methanoregula sp.
1005962	d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Ogataea;s__Ogataea parapolymorpha
1006	d__Bacteria;k__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Marivirgaceae;g__Marivirga;s__Marivirga tractuosa
1006155	d__Bacteria;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria weihenstephanensis
1006576	d__Bacteria;k__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Defluviitoga;s__Defluviitoga tunisiensis
1007105	d__Bacteria;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Pusillimonas;s__Pusillimonas sp. T7-7
100716	d__Bacteria;k__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
1007502	d__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Nannizziopsiaceae;g__Nannizziopsis;s__Nannizziopsis barbatae
100756	d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Hericiaceae;g__Hericium;s__Hericium coralloides
1007660	d__Bacteria;k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Gomontiellales;f__Gomontiellaceae;g__Hormoscilla;s__uncultured Hormoscilla sp.
1007676	d__Bacteria;k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Companilactobacillus;s__Companilactobacillus ginsenosidimutans
1008	d__Bacteria;k__Bacteria;p__Bacteroidota;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__Saprospira;s__Saprospira grandis
1008152	d__Archaea;k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Haladaptatus;s__Haladaptatus pallidirubidus
100830	d__Eukaryota;k__Metazoa;p__Chordata;c__Aves;o__Galliformes;f__Phasianidae;g__Tetrao;s__Tetrao urogallus
100861	d__Eukaryota;k__containing p__Oomycota;p__Oomycota;c__containing o__Saprolegniales;o__Saprolegniales;f__Saprolegniaceae;g__Aphanomyces;s__Aphanomyces euteiches
100886	d__Bacteria;k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai
10089	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus caroli
100897	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Microtus;s__Microtus fortis
10090	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus
10093	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus pahari
10096	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus spretus
1009682	d__Bacteria;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Chitinibacteraceae;g__Jeongeupia;s__Jeongeupia sp. HS-3
1010	d__Bacteria;k__Bacteria;p__Bacteroidota;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium mizutaii
101028	d__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium pseudograminearum
1010633	d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Digitaria;s__Digitaria exilis
101070	d__Bacteria;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Rummeliibacillus;s__Rummeliibacillus pycnus
101096	d__Eukaryota;k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Choanephoraceae;g__Gilbertella;s__Gilbertella persicaria
101098	d__Eukaryota;k__Fungi;p__Mucoromycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Gamsiella;s__Gamsiella multidivaricata
101107	d__Eukaryota;k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Halteromyces;s__Halteromyces radiatus
10116	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Rattus;s__Rattus norvegicus
101162	d__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__Bipolaris oryzae
10117	d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Rattus;s__Rattus rattus
101192	d__Archaea;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica
101201	d__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma asperellum
